Id,Você mora no Brasil?,Qual estado você mora?,Qual perfil você mais se identifica?,Você é um desenvolvedor focado em front-end?,Há quanto tempo você desenvolve front-end?,AngularJS,Backbone.js,Ember.js,jQuery,KnockoutJS,Other,Você utiliza algum padrão de módulo (module pattern) Javascript?,AMD,CommonJS,Other,Você utiliza alguma ferramenta para gerenciamento de pacotes front-end?,Bower,NPM,Volo,Jam,Other,Você utiliza alguma ferramenta para a automatização de tarefas relacionadas ao desenvolvimento front-end?,Grunt,Gear,Ant,Make,Cake,Jake,Rake,Bash,Other,Você desenvolve testes para o código Javascript?,Unitários,Integração ou End-to-End,Performance,Other,Você utiliza alguma ferramenta para auxiliar a realização dos testes?,QUnit,Karma,Jasmine,Sinon,Mocha,Other,Você utiliza alguma ferramenta de controle de versão?,Git,Mercurial,Subversion,Rational,Other,Você utiliza algum pré-processador CSS?,LESS,Sass,Stylus,Roole,Other,Você usa algum framework CSS?,Twitter Bootstrap,Topcoat,Foundation,Pure CSS,Other,Você usa alguma template-engine?,dust.js,Handlebars.js,Mustache.js,Jade,A do próprio framework,Other,Você utiliza alguma outra linguagem para escrever Javascript?,Marque qual linguagem você escreve Javascript:,Minifico o HTML,Minifico os arquivos CSS,Minifico os arquivos JS,Combino arquivos CSS,Combino arquivos JS,Otimizo as imagens,Uso arquivos servidos em um CDN público,Uso arquivos servidos em um CDN próprio,Other,Quais navegadores antigos você dá suporte?,Qual navegador você utiliza para desenvolvimento?,Como você vê o seu desenvolvimento para mobile?,Sublime Text,WebStorm (Jet Brains),Notepad++,Visual Studio,Dreamweaver,VI / VIM,Emacs,TextMate,NetBeans,Eclipse,Brackets,Other
27,1,PR,B,,C,1,,,1,,,1,,1,,0,,,,,,1,1,,,,,,,,,1,,1,1,,0,,,,,,,1,1,,,,,1,1,1,,,,1,1,,1,,,0,,,,,,,0,,,,,1,1,1,,,,3,1,3,1,,,,,,,,,,,
28,1,RJ,B,,D,,1,,1,,,0,,,,1,,1,,,,1,1,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,1,1,,,,,0,,,,,,0,,,,,,,0,,1,1,1,,,,1,,,1,0,2,1,,,,,,,,,,,
30,1,SC,A,1,D,,1,1,1,,,1,1,,,0,,,,,,0,,,,,,,,,,1,,,1,,0,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,,,1,,1,,,1,,1,1,4,,,1,,,,,,,,,
31,1,SP,B,,A,,,,1,,,2,,,,0,,,,,,1,1,,,,,,,,,1,,,1,,0,,,,,,,1,1,,,,,1,1,1,,,,1,,,1,,,0,,,,,,,0,,1,1,1,,,,1,,,1,0,0,1,,,,,,,,,,,
32,1,SC,E,1,B,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0,,1,1,1,1,1,,,,,3,0,1,,,1,,,,,,1,,,
33,1,SP,E,1,B,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,,,1,,,0,,,,,,,0,,1,,,,,,,,,2,0,1,,,1,,,,,,,1,,
36,1,RS,A,0,C,,,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,,,,,,,,3,1,2,1,,,,,,,,,,,
37,1,RS,B,,D,,1,1,1,,,1,,1,,1,1,1,,,,1,1,,,,,,,,,1,,,1,,0,,,,,,,1,1,,,,,0,,,,,,1,1,,,1,,0,,,,,,,0,,,1,1,1,1,1,,,,1,0,2,1,,,,,,,,,,,
40,1,PR,A,0,D,1,,,1,,,0,,,,1,1,,,,,0,,,,,,,,,,1,1,,,,0,,,,,,,1,1,,,,,0,,,,,,1,1,,1,,,0,,,,,,,0,,1,,1,1,1,1,,,,2,0,4,1,,,,,1,,,,,,
41,1,MG,B,,D,1,1,,1,,,2,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,,,,0,,,,,,1,1,,,,,1,,,,,1,,1,0,,,1,,,,,,,3,0,2,1,,,,,,,,,,,
44,1,MG,B,,D,1,,,1,1,1,1,1,,,1,1,1,,1,1,1,1,,,,,,,,,1,1,1,,,1,1,,1,1,1,,1,1,,1,,1,1,1,,,,,1,1,1,1,1,,1,,1,1,1,,,1,5,,1,1,1,1,1,,,,2,0,3,1,,,1,,1,,,,,,
46,1,SP,A,0,C,,,,1,,,0,,,,0,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,1,1,,1,,,0,,,,,,1,1,,,,,0,,,,,,,0,,,,,1,1,1,1,,,1,1,1,1,,1,,,,,,,,,
