Id,BRA,EST,PER,FOC,EXP,FRW.ANG,FRW.BBO,FRW.EMB,FRW.JQU,FRW.KNO,FRW.OTH,MOD,MOD.AMD,MOD.COM,MOD.OTH,PKG,PKG.BOW,PKG.NPM,PKG.VOL,PKG.JAM,PKG.OTH,AUT,AUT.GRN,AUT.GER,AUT.ANT,AUT.MAK,AUT.CAK,AUT.JAK,AUT.RAK,AUT.BAS,AUT.OTH,TST,TST.UNI,TST.INT,TST.PER,TST.OTH,TST.FER,TST.FER.QUN,TST.FER.KAR,TST.FER.JAS,TST.FER.SIN,TST.FER.MOC,TST.FER.OTH,VER,VER.GIT,VER.MER,VER.SVN,VER.RAT,VER.OTH,PCS,PCS.LES,PCS.SAS,PCS.STY,PCS.ROO,PCS.OTH,CSS,CSS.TBS,CSS.TCO,CSS.FOU,CSS.PUR,CSS.OTH,TMP,TMP.DUS,TMP.HAN,TMP.MUS,TMP.JAD,TMP.FRW,TMP.OTH,LNG,LNG.CHO,PRO.MHT,PRO.MCS,PRO.MJS,PRO.CCS,PRO.CJS,PRO.OIM,PRO.CDU,PRO.CDR,PRO.OTH,BRW.SUP,BRW.DES,MOB,EDT.SUB,EDT.WEB,EDT.NOT,EDT.VST,EDT.DRW,EDT.VIM,EDT.EMA,EDT.TXM,EDT.NET,EDT.ECL,EDT.BRA,EDT.OTH
27,S,PR,B,,C,1,,,1,,,S,,1,,N,,,,,,S,1,,,,,,,,,S,,1,1,,N,,,,,,,S,1,,,,,S,1,1,,,,S,1,,1,,,N,,,,,,,N,,,,,1,1,1,,,,3,B,3,1,,,,,,,,,,,
28,S,RJ,B,,D,,1,,1,,,N,,,,S,,1,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,,,,,N,,,,,,N,,,,,,,N,,1,1,1,,,,1,,,1,A,2,1,,,,,,,,,,,
30,S,SC,A,S,D,,1,1,1,,,S,1,,,N,,,,,,N,,,,,,,,,,S,,,1,,N,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,1,,1,,,1,,1,B,4,,,1,,,,,,,,,
31,S,SP,B,,A,,,,1,,,U,,,,N,,,,,,S,1,,,,,,,,,S,,,1,,N,,,,,,,S,1,,,,,S,1,1,,,,S,,,1,,,N,,,,,,,N,,1,1,1,,,,1,,,1,A,0,1,,,,,,,,,,,
32,S,SC,E,S,B,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,1,1,1,1,1,,,,,3,A,1,,,1,,,,,,1,,,
33,S,SP,E,S,B,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,,,1,,,N,,,,,,,N,,1,,,,,,,,,2,A,1,,,1,,,,,,,1,,
36,S,RS,A,N,C,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,,,,,,,,3,B,2,1,,,,,,,,,,,
37,S,RS,B,,D,,1,1,1,,,S,,1,,S,1,1,,,,S,1,,,,,,,,,S,,,1,,N,,,,,,,S,1,,,,,N,,,,,,S,1,,,1,,N,,,,,,,N,,,1,1,1,1,1,,,,1,A,2,1,,,,,,,,,,,
40,S,PR,A,N,D,1,,,1,,,N,,,,S,1,,,,,N,,,,,,,,,,S,1,,,,N,,,,,,,S,1,,,,,N,,,,,,S,1,,1,,,N,,,,,,,N,,1,,1,1,1,1,,,,2,A,4,1,,,,,1,,,,,,
41,S,MG,B,,D,1,1,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,,,,S,,,,,1,,S,A,,,1,,,,,,,3,A,2,1,,,,,,,,,,,
